"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","getUserLastSessionDate: Получить сессию (Успех, 2 шт., некорректный порядок)","","Sat Mar 22 11:30:34 UTC 2025","failed","Sat Mar 22 11:30:34 UTC 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate_TwoListIncorrectOrder"
"","4","getUserLastSessionDate: Получить отсутствие сессии","","Sat Mar 22 11:30:34 UTC 2025","broken","Sat Mar 22 11:30:34 UTC 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate_EmptyList"
"","15","inactiveUsers: Тест получения неактивных пользователей (Некорректный параметр days)","","Sat Mar 22 11:30:34 UTC 2025","passed","Sat Mar 22 11:30:34 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsersIncorrectDatParameter"
"","37","monthlyActivity: Тест получения статистики активности (Успех, не было активности)","","Sat Mar 22 11:30:34 UTC 2025","passed","Sat Mar 22 11:30:34 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivitySuccessEmpty"
"","21","Тест получения общего времени активности (Отсутствует пользователь)","","Sat Mar 22 11:30:31 UTC 2025","failed","Sat Mar 22 11:30:31 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivityNoUserWithUserId"
"","17","inactiveUsers: Тест получения неактивных пользователей (Success, 1 день, [])","","Sat Mar 22 11:30:32 UTC 2025","passed","Sat Mar 22 11:30:32 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsersSuccessEmptyOneDay"
"","2","getUserStatus: Отсутствует активность (-1, 0, 30, 59, Inactive) [1] -1","","Sat Mar 22 11:30:34 UTC 2025","passed","Sat Mar 22 11:30:34 UTC 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_Inactive"
"","17","monthlyActivity: Тест получения статистики активности (Успех, не было активности)","","Sat Mar 22 11:30:34 UTC 2025","passed","Sat Mar 22 11:30:34 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivitySuccessNotEmpty"
"","14","recordSession: Тест записи сессии (Некорректный формат loginTime)","","Sat Mar 22 11:30:31 UTC 2025","passed","Sat Mar 22 11:30:31 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionIncorrectLoginTimeFormat"
"","55","recordSession: Тест записи сессии (loginTime > logoutTime)","","Sat Mar 22 11:30:31 UTC 2025","failed","Sat Mar 22 11:30:31 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionLoginTimeMoreThanLogoutTime"
"","10","monthlyActivity: Тест получения статистики активности (Отсутствует параметр month)","","Sat Mar 22 11:30:34 UTC 2025","passed","Sat Mar 22 11:30:34 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivityNoMonthParameter"
